APC,Prov_State,OutptSvcs,AvgEstSubChg,AvgTotPay
0074 - Level IV Endoscopy Upper Airway,CT,218,8798,2226.48
0074 - Level IV Endoscopy Upper Airway,DC,57,13498.57,1968.22
0074 - Level IV Endoscopy Upper Airway,DE,76,7029.8,1996.21
0074 - Level IV Endoscopy Upper Airway,FL,842,18160.48,1835.39
0074 - Level IV Endoscopy Upper Airway,GA,576,10393.71,1819.4
0074 - Level IV Endoscopy Upper Airway,HI,26,10668.3,2116.63
0074 - Level IV Endoscopy Upper Airway,IA,175,9663.02,1823.87
0074 - Level IV Endoscopy Upper Airway,ID,22,5946.07,1807.85
0074 - Level IV Endoscopy Upper Airway,IL,566,13216.89,1864.89
0074 - Level IV Endoscopy Upper Airway,IN,333,10519.96,1847.57
0074 - Level IV Endoscopy Upper Airway,KS,160,9618.28,1842.57
0074 - Level IV Endoscopy Upper Airway,KY,308,10458.77,1792.4
0074 - Level IV Endoscopy Upper Airway,LA,226,12506.8,1657.93
0074 - Level IV Endoscopy Upper Airway,MA,659,7205.35,2319.91
0074 - Level IV Endoscopy Upper Airway,ME,107,6172.75,1941.81
0074 - Level IV Endoscopy Upper Airway,MI,570,7990.75,1902.13
0074 - Level IV Endoscopy Upper Airway,MN,287,9964.83,2074.31
0074 - Level IV Endoscopy Upper Airway,MO,486,11247.25,1785.68
0074 - Level IV Endoscopy Upper Airway,MS,159,10717.97,1676.81
0074 - Level IV Endoscopy Upper Airway,MT,44,6524.72,2006.83
0074 - Level IV Endoscopy Upper Airway,NC,583,10093.69,1809.23
0074 - Level IV Endoscopy Upper Airway,ND,67,6832.05,1922.28
0074 - Level IV Endoscopy Upper Airway,NE,116,9283.98,1874.01
0074 - Level IV Endoscopy Upper Airway,NH,76,10785.3,2145.62
0074 - Level IV Endoscopy Upper Airway,NJ,284,11786.93,2232.63
0074 - Level IV Endoscopy Upper Airway,NM,58,10024.45,1805.31
0074 - Level IV Endoscopy Upper Airway,NV,92,13513.43,2053.55
0074 - Level IV Endoscopy Upper Airway,NY,712,9498.83,2112.88
0074 - Level IV Endoscopy Upper Airway,OH,507,11916.25,1804.9
0074 - Level IV Endoscopy Upper Airway,OK,229,11014.72,1722.43
0074 - Level IV Endoscopy Upper Airway,OR,120,9358.73,2073.15
0074 - Level IV Endoscopy Upper Airway,PA,639,16420.92,1930.23
0074 - Level IV Endoscopy Upper Airway,RI,33,6230.42,2089.49
0074 - Level IV Endoscopy Upper Airway,SC,281,12532.99,1785.88
0074 - Level IV Endoscopy Upper Airway,SD,50,8549.99,1945.25
0074 - Level IV Endoscopy Upper Airway,TN,437,12179.65,1767.05
0074 - Level IV Endoscopy Upper Airway,TX,834,13576.59,1848.59
0074 - Level IV Endoscopy Upper Airway,UT,98,6238.48,1826.34
0074 - Level IV Endoscopy Upper Airway,VA,476,12875.76,1825.19
0074 - Level IV Endoscopy Upper Airway,VT,40,8098.27,2036.22
0074 - Level IV Endoscopy Upper Airway,WA,285,11098.97,2088.01
0074 - Level IV Endoscopy Upper Airway,WI,326,8998.02,1946.17
0074 - Level IV Endoscopy Upper Airway,WV,127,7898.96,1761.31
0096 - Level II Noninvasive Physiologic Studies,AK,23,2333.31,370.85
0096 - Level II Noninvasive Physiologic Studies,AL,308,1925.74,278.23
0096 - Level II Noninvasive Physiologic Studies,AR,403,1123.24,291.14
